이름,대표,소재지,번호
우리로공인중개사사무소,이면우,서울시 서초구 서초동 1659-12 아치빌딩 3층,02-521-7700
유일공인중개사사무소,이지연,서울특별시 서초구 서초동 1677-1 브라운스톤서초 111호,02-586-0012/010-6322-5881
하림공인중개사사무소,편무정,서울특별시 서초구 서초1동 서초대로 316.103,02-525-2580/010-3765-2508
하림공인중개사사무소,편무정,서울특별시 서초구 서초1동 서초대로 316.103,02-525-2580/010-3765-2508
대영공인중개사사무소,손정숙,서울특별시 서초구 서초동 1687 유원서초아파트 지하 1층 109호,02-533-0220/010-9217-0715
왕정공인중개사사무소,좌시몬,서울특별시 서초구 서초동 1660-26 1층,010-2696-5045/010-2696-5045
삼보부동산중개법인주식회사,이철진,서울 서초구 서초동 1677-1,02-525-6777/010-5454-3112
양지공인중개사사무소,송주언,서울시 서초구 서초동 1640-6,02-525-8849/010-7513-7935
에이치공인중개사사무소,홍성택,서울시 서초구 서초동 1670-12 3층,02-598-7524
신서초공인중개사사무소,김동관,서울특별시 서초구 서초1동 1673-5,02-597-5500/010-6235-1341
명문공인중개사사무소,김영생,서울특별시 서초구 서초동 1669-14 에스티에스빌딩 1층 101호,02-523-0065/010-9096-5808
인화공인중개사사무소,고인화,서울 서초구 서초동 1677-1 브라운스톤서초 108호,02-581-5551/016-314-8443
에이스공인중개사사무소,장갑준,서울시 서초구 서초동 1665-6 102호,02-588-8511/010-6245-1128
정우공인중개사무소,정갑생,서울 서초구 서초동 1690-1 삼풍프라자,02-591-3500/010-5221-2771
주식회사한스파크부동산중개법인,한승우,서울특별시 서초구 서초동 1660-26 골드빌딩 1층,02-557-8183
인화공인중개사사무소,송형임,서울특별시 서초구 서초동 1677-1 브라운스톤서초 108호,02-581-5551/010-5016-5700
이글공인중개사사무소,김남기,서울 서초구 서초4동 1687유원상가101,02-535-5007/010-3202-9024
한스부동산공인중개사사무소,박시영,서울시 서초구 서초동 1677-1 브라운스톤 서초 109호,02-522-1672/010-5079-1672
건우공인중개사사무소,변정선,서울특별시 서초구 서초동 1636-1 2층,02-3472-6700/010-2929-6481
하나공인중개사사무소,안하영,서울특별시 서초구 서초동 1635-9 1층,02-533-9001/010-9966-8355
서초래미안공인중개사,김유용,서울 서초구 서초동 1640-25,02-3487-3336/010-4363-6181
지웰공인중개사사무소,백소연,서울 서초구 서초동 1678-4 서초지웰타워 102호,02-581-9020
골드스톤부동산중개,박민호,서울특별시 서초구 서초동 1638-2 아이리스 서초 103동 301호,02-588-5665
더우리부동산중개법인주식회사,최병후,서울특별시 서초구 서초1동 1688-6 서초메이플라워맴버스빌 102호,02-599-2900/010-5342-9749
부동산나라공인중개사사무소,김영호,서울특별시 서초구 서초동 1637-15 1층,02-3474-4489
으뜸공인중개사사무소,이광수,서울 서초구 서초동 1641-13 아남상가 103,02-522-5355
이화공인중개사사무소,이정아,서울시 서초구 서초동 1684-1 서초쇼핑 1층 11호,02-534-5566/010-3715-3117
삼성래미안공인중개사사무소,배승민,서울 서초구 서초동 1682 서초래미안 상가 105호,02-536-5989/010-6271-6372
원명부동산공인중개사사무소,정혜영,서울시 서초구 서초동 1682,02-591-0033/010-8933-9128
이화공인중개사사무소,최항진,"서울 서초구 고무래로 90-7, 1층 11호 (서초동, 서초쇼핑)",02-534-5566
한림공인중개사사무소,심재갑,서울특별시 서초구 서초동 1684-1 서초쇼핑 1층 34호,02-536-4587/010-8986-8312
정공인중개사사무소,김현지,서울특별시 서초구 서초동 1684-1 서초쇼핑 1층 10호,02-593-6662/010-5879-3999
이정숙공인중개사,이정숙,서울 서초구 서초동 1687 유원상가 106호,02-3478-5757/010-5260-8140
반포래미안써밋공인중개사사무소,김주영,서울특별시 서초구 서초동 1684-1,02-593-0053/010-5245-8458
명성부동산중개,오태희,서울시 서초구 서초동 1315,02-535-0048/010-3920-9628
삼익부동산중개사무소,현창환,서울특별시 서초구 서초동 1687-2 서초플라자 지층 105호,02-533-4001/010-3120-8764
동남부동산중개,박주영,서울시 서초구 서초동 1315 진흥상가 1층113호,02-3482-4774/010-2758-4176
아르누보씨티공인중개사사무소,오민수,서울시 서초구 서초동 1680-1 서초 아르누보씨티 107호,02-535-7111/010-8005-9357
롯데씨티공인중개사사무소,김준,서울특별시 서초구 서초동 1687-2 서초프라자 지108호[B108-2호],02-599-5559/010-9605-5558
새터공인중개사사무소,김성희,서울특별시 서초구 서초동 1687-2 B104-1호(중앙서초프라자),02-533-3335/010-9844-8100
베네치아공인중개사사무소,이설호,서울시 서초구 서초동 1687-2 102호,02-532-0880/010-9175-5320
강남공인중개사사무소,고도현,서울특별시 서초구 서초동 1315 진흥상가 1층 33호,02-533-3365/010-3609-6609
서초사랑의부동산공인중개사사무소,손일형,서울시 서초구 서초동 1315 진흥상가 1층 114호,02-599-0059/010-8667-2742
하나부동산공인중개사사무소,이황복,서울시 서초구 서초동 1315,010-7327-2001
금강공인중개사사무소,김창규,서울 서초구 서초동 1687-2,02-599-0700/010-8953-0711
서초현대공인중개사사무소,윤경석,서울시 서초구 서초동 1315 진흥상가 1층 101호,02-6958-7557/010-6341-2900
(주)동남부동산중개,김미경,서울특별시 서초구 서초동 1315 진흥상가 101호,02-3482-4774
래요부동산중개법인주식회사,최문석,서울시 서초구 서초동 1315 진흥상가 1층 12-가호,02-536-8295
리치모나코공인중개사사무소,이옥희,서울특별시 서초구 서초4동 1315 진흥상가 116호,02-3482-5542/010-2782-8584
신신공인중개사사무소,문도상,서울 서초구 서초동 1687-2,02-591-8900/010-8964-8901
경수부동산공인중개사사무소,안혁수,서울 서초구 서초동 1342 1층4호,02-523-3161/010-7345-3160
경수부동산공인중개사사무소,한성만,서울시 서초구 서초동 1342 107호,02-588-7005/010-9030-4412
무지개공인중개사사무소,김광수,서울특별시 서초구 서초동 1342 2층 202호,02-3474-8989/010-9026-0329
주연공인중개사사무소,최주연,서울특별시 서초구 서초동 1344 동국빌딩1층,02-585-3316/010-2114-3316
현대한성공인중개사사무소,김진혜,서울특별시 서초구 서초동 1436-1 1층 101호 서쪽단지,02-3473-0048/010-5267-7773
현대한성공인중개사사무소,김진혜,서울 서초구 서초동 1349-12 1층,02-597-1313/011-799-0950
하나공인중개사사무소,김무식,서울 서초구 효령로70길36-25(1435-6),02-3486-2222/010-4914-0503
복부동산공인중개사사무소,이복희,서울특별시 서초구 서초동 1348 청헌빌딩 1층 102호,02-587-1122
솔개공인중개사사무소,권혁주,서울시 서초구 서초동 1359-46 영초빌딩1층,02-523-1002
팰리스공인중개사,박명철,서울 서초구 서초동 1359-35,02-3474-7007/010-6437-8688
케이씨알부동산중개 주식회사,김대진,서울시 서초구 서초동 1355-8 중앙로얄오피스텔 805호,010-4843-3468
박기완공인중개사사무소,박기완,서울시 서초구 서초동 1364-39 3층 331호,010-5541-9715
대현공인중개사사무소,최현일,서울시 서초구 서초동 1364-39 4층,02-3472-2090/010-7350-3730
공간공인중개사사무소,안기웅,서울특별시 서초구 서초동 1364-39 4층 4423호,010-4479-6381/010-4479-6381
대복공인중개사사무소,신승훈,서울시 서초구 서초동 1357-45 1층,02-6959-3447
리치공인중개사사무소,윤재현,서울특별시 서초구 서초동 1364-39 나남출판사옥 4층[409호],010-5248-6111
동양공인중개사사무소,안병욱,서울시 서초구 서초동 1357-54 1층,02-3474-0029/010-5763-0003
바우부동산중개,김재국,서울특별시 서초구 서초동 1356-2 3층,010-9085-9278
디오빌부동산정보공인중개사사무소,류명주,서울 서초구 서초동 1355-17 서초대우디오빌상가 104호,02-525-2330/010-9403-6771
파트너공인중개사사무소,황영경,서울특별시 서초구 서초동 1359-45 서일빌딩 1층 101호,02-581-7181
강남공인중개사사무소,황숙영,서울특별시 서초구 서초2동 1357-55 1층 1호,02-581-0828/010-2287-5341
트라팰리스공인중개사사무소,차호영,서울시 서초구 서초동 1344-13 서초트라팰리스 E-B104호,02-563-6633/010-9104-7911
트라팰리스공인중개사사무소,공유식,서울시 서초구 서초동 1357-54 1층,010-7682-6323
위드공인중개사사무소,공유식,서울시 서초구 서초동 1357-54 1층,02-583-6634/010-6230-6816
TP공인중개사사무소,차용훈,서울특별시 서초구 서초동 1344-13 서초트라팰리스 E-B104호,02-583-6634/010-6230-6816
몽헤브공인중개사사무소,박승욱,서울특별시 서초구 서초동 1755-1 리더스원 상가 144-1호,02-522-1437/010-8228-3811
몽헤브공인중개사사무소,박승욱,서울특별시 서초구 서초동 1755-1 리더스원 상가 144-1호,02-522-1437/010-8228-3811
몽헤브공인중개사사무소,박승욱,서울특별시 서초구 서초동 1755-1 리더스원 상가 144-1호,02-522-1437/010-8228-3811
단지내롯데공인중개사사무소,문은정,서울특별시 서초구 서초동 1336-1 리더스원 상가 214호,02-521-5521/010-6468-1249
디케이원공인중개사사무소,이광순,서울특별시 서초구 서초동 1755-1 리더스원 상가 140호,02-582-3208/010-5172-3208
서초믿음공인중개사사무소,김혜숙,서울특별시 서초구 서초동 1755-1 래미안 리더스원 상가동 119호,02-581-1883/010-5948-1883
서초믿음공인중개사사무소,김혜숙,서울특별시 서초구 서초동 1755-1 래미안 리더스원 상가동 119호,02-599-7800/010-2172-3614
내사집공인중개사사무소,정해솔,서울특별시 서초구 서초동 1333 1층 34호,02-599-7800/010-2172-3614
우리공인중개사사무소,정태영,서울 서초구 서초동 1332-2 무지개쇼핑125호,02-3473-4949/010-2259-1993
우리공인중개사사무소,정태영,서울시 서초구 서초동 1755-1 상가1층 114호,02-597-2260/010-5491-9474
리더스골드공인중개사사무소,문정윤,서울시 서초구 서초동 1755-1 상가1층 114호,02-597-2260/010-5491-9474
트리니티부동산중개법인주식회사,이재성,서울 서초구 서초동 1332-3 무지개쇼핑132호,02-525-2365/010-9434-0365
우성공인중개사사무소,김금주,"서울특별시 서초구 서초동 1755-1 래미안 리더스원 상가동109호,110호",02-522-9800/010-2936-2800
래미안&자이공인중개사사무소,설혜정,서울 서초구 서초동 1334-1 신동아2차상가 1층 9호,02-583-9120/010-3320-1538
태광공인중개사사무소,김봉준,서울시 서초구 서초동 1334 1신동아1차상가 1층 4호,02-584-9300
굿모닝부동산 공인중개사사무소,유인숙,서울특별시 서초구 서초동 1755-1 리더스원상가동 121호,02-522-3777/010-6396-5688
신동아공인중개사사무소,이연선,서울특별시 서초구 서초동 1755-1 래미안 리더스원 상가동 147호,02-3473-1777/010-3230-1438
선진공인중개사사무소,오경희,서울특별시 서초구 서초동 1755-1 리더스원 상가 106호,02-3474-3800/010-9337-3113
중앙공인중개사사무소,노선영,서울특별시 서초구 서초동 1334-1 1층 2-1호,02-3472-0043/010-5231-1311
삼성공인중개사사무소,장순심,서울특별시 서초구 서초동 1332-2 무지게쇼핑센타 29.30호,02-598-1144/010-8126-4733
우성랜드공인중개사사무소,양동일,"서울특별시 서초구 서초동 1755-1 래미안리더스원 상가동 122,123호",02-3473-2288/010-5013-3192
삼정부동산공인중개사사무소,문순예,서울특별시 서초구 서초동 1335 1층135호,02-3473-6700/010-3442-7506
신라부동산,김병열,서울 서초구 서초2동 1335무지개상가113호,02-3474-1234/011-447-8655
원공인중개사사무소,홍기표,서울특별시 서초구 서초동 1332-4 Cross 143 105-1호,02-587-0606
강남공인중개사사무소,조용권,서울특별시 서초구 서초동 1334-1 신동아2차상가 1층 2-3,02-555-1159/010-3783-1159
서초래미안리더스원공인중개사사무소,한혜정,서울특별시 서초구 서초동 1755-1 래미안리더스원 상가동 105호,02-522-2296/010-2281-9913
주식회사부동산중개법인다름,이재황,서울특별시 서초구 서초동 1338-20 현대렉시온 비107호(6호),070-8064-5608
연세부동산공인중개사사무소,이헌익,서울특별시 서초구 서초동 1757-1 서초 그랑자이 그랑몰 124호,02-2607-0579/010-3043-4417
큐빌딩매매부동산중개,서영성,"서울특별시 서초구 서초동1337-22, 208호",070-4024-6128/010-5052-6128
유니온공인중개사사무소,민병진,서울 강남구 역삼동 837-11유니온센타 상가5호,02-538-6081/--
현대공인중개사사무소,허인숙,서울특별시 서초구 서초2동 1338-20 현대렉시온 2층 209호,02-598-1188/010-3575-6669
빅스공인중개사사무소,강호중,서울특별시 서초구 서초동 1337-22 대우디오빌프라임 208호,02-6490-8670/010-2358-4408
강남효성공인중개사사무소,정유리,서울특별시 서초구 서초동 1337-6 강남효성해링턴타워 102호,02-588-2110/010-2797-3362
